Number,Transaction
20091,[2015-01-18 16:48:32] - Cody Bass from Whale has scored a Hat Trick!
20092,[2015-01-18 16:48:32] - Rod Pelley from Checkers has scored a Hat Trick!
20093,<font color="Red">[2015-01-18 16:48:32] - Game 679 - Alexei Emelin from Panthers is injured  (Back) and is out for 3 days.</font>
20094,<font color="Red">[2015-01-18 16:48:32] - Game 679 - Thomas Greiss from Canucks is injured  (Bruised Left Foot) and is out for 1 week.</font>
20095,<font color="Red">[2015-01-18 16:48:32] - Game 680 - Jordan Leopold from Avalanche is injured  (Back) and is out for 1 week.</font>
20096,<font color="Red">[2015-01-18 16:48:32] - Game 682 - Seth Jones from Kings is injured  (Sprained Right Ankle) and is out for 2 days.</font>
20097,[2015-01-18 16:48:32] - Crunch lines for next game are empty. Current rosters/lines are not erased.
20098,[2015-01-18 16:48:32] - Bruins lines for next game are empty. Current rosters/lines are not erased.
20099,[2015-01-18 16:48:32] - Hurricanes lines for next game are empty. Current rosters/lines are not erased.
20100,[2015-01-18 16:48:32] - Checkers lines for next game are empty. Current rosters/lines are not erased.
20101,[2015-01-18 16:48:32] - IceHogs lines for next game are empty. Current rosters/lines are not erased.
20102,[2015-01-18 16:48:32] - Monsters lines for next game are empty. Current rosters/lines are not erased.
20103,[2015-01-18 16:48:32] - Kings lines for next game are empty. Current rosters/lines are not erased.
20104,[2015-01-18 16:48:32] - Aeros lines for next game are empty. Current rosters/lines are not erased.
20105,[2015-01-18 16:48:32] - Sound Tigers lines for next game are empty. Current rosters/lines are not erased.
20106,[2015-01-18 16:48:32] - Whale lines for next game are empty. Current rosters/lines are not erased.
20107,[2015-01-18 16:48:32] - Phantoms lines for next game are empty. Current rosters/lines are not erased.
20108,[2015-01-18 16:48:32] - Pirates lines for next game are empty. Current rosters/lines are not erased.
20109,[2015-01-18 16:48:32] - Rivermen lines for next game are empty. Current rosters/lines are not erased.
20110,[2015-01-18 16:48:32] - Sharks lines for next game are empty. Current rosters/lines are not erased.
20111,[2015-01-18 16:48:32] - Canucks lines for next game are empty. Current rosters/lines are not erased.
20112,[2015-01-18 16:48:32] - Wolves lines for next game are empty. Current rosters/lines are not erased.
20113,<font color="Red">[2015-01-18 16:48:32] - Shawn Horcoff from Islanders is back from Bruised Left Foot Injury.</font>
20114,<font color="Red">[2015-01-18 16:48:32] - Steve Downie from Blue Jackets is back from Right Hip Injury.</font>
20115,<font color="Red">[2015-01-18 16:48:32] - Alexei Emelin from Panthers is back from Back Injury.</font>
20116,<font color="Red">[2015-01-18 16:48:32] - Seth Jones from Kings is back from Sprained Right Ankle Injury.</font>
20117,[2015-01-18 16:48:33] - Current fund for Jets is under 0 kr.
20118,[2015-01-18 16:48:34] - Jets are expected to be under the minimum salary cap by 1.411.197 kr!
20119,[2015-01-18 16:48:34] - Current fund for Panthers is under 0 kr.
20120,[2015-01-18 16:48:35] - Current fund for Rangers is under 0 kr.
20121,[2015-01-18 16:48:35] - Current fund for Senators is under 0 kr.
20122,[2015-01-18 16:48:35] - Current fund for Penguins is under 0 kr.
20123,[2015-01-18 16:48:35] - Current fund for Canucks is under 0 kr.
20124,[2015-01-18 16:50:16] - Current fund for Jets is under 0 kr.
20125,[2015-01-18 16:50:18] - Jets are expected to be under the minimum salary cap by 1.411.197 kr!
20126,[2015-01-18 16:50:19] - Current fund for Panthers is under 0 kr.
20127,[2015-01-18 16:50:20] - Current fund for Rangers is under 0 kr.
20128,[2015-01-18 16:50:20] - Current fund for Senators is under 0 kr.
20129,[2015-01-18 16:50:21] - Current fund for Penguins is under 0 kr.
20130,[2015-01-18 16:50:21] - Current fund for Canucks is under 0 kr.
20131,[2015-01-19 17:33:27] - Mark Pysyk of Sabres was sent to farm.
20132,<font color="Black">[2015-01-19 17:33:27] - Successfully loaded Sabres lines done with STHS Client - 2.2.7.7</font>
20133,<font color="Black">[2015-01-19 17:33:27] - Brian McGrattan of Flames was sent to pro.</font>
20134,<font color="Black">[2015-01-19 17:33:27] - Eric Boulton of Flames was sent to pro.</font>
20135,<font color="Black">[2015-01-19 17:33:29] - Successfully loaded Flames lines done with STHS Client - 2.2.7.7</font>
20136,<font color="Black">[2015-01-19 17:33:30] - Successfully loaded Avalanche lines done with STHS Client - 2.2.6.6</font>
20137,<font color="Black">[2015-01-19 17:33:30] - Bobby Butler of Islanders was sent to pro.</font>
20138,<font color="Black">[2015-01-19 17:33:31] - Successfully loaded Islanders lines done with STHS Client - 2.2.3.3</font>
20139,<font color="Black">[2015-01-19 17:33:31] - Brian Dumoulin of Flyers was sent to pro.</font>
20140,<font color="Black">[2015-01-19 17:33:31] - Successfully loaded Flyers lines done with STHS Client - 2.2.7.7</font>
20141,[2015-01-19 17:33:31] - Nicolas Deslauriers of Blues was sent to farm.
20142,<font color="Black">[2015-01-19 17:33:31] - Successfully loaded Blues lines done with STHS Client - 2.2.6.6</font>
20143,<font color="Black">[2015-01-19 17:33:31] - Yann Danis of Canucks was sent to pro.</font>
20144,<font color="Black">[2015-01-19 17:33:31] - Successfully loaded Canucks lines done with STHS Client - 2.2.6.6</font>
20145,[2015-01-19 17:34:00] - Current fund for Rangers is under 0 kr.
20146,<font color="#0080C0">[2015-01-19 17:34:10] - Rangers sent Mike Richards to waiver.</font>
20147,[2015-01-19 17:34:11] - Mike Richards of Rangers was sent to farm.
20148,<font color="Black">[2015-01-19 17:34:13] - John McCarthy of Rangers was sent to pro.</font>
20149,<font color="Black">[2015-01-19 17:35:33] - Auto Lines Function has been run for Rangers.</font>
20150,[2015-01-19 17:35:50] - Red Wings roster errors : Not enough Players available in Pro Team! 16 Dressed. 18 Required.
Some errors will be automatically fixed.

20151,<font color="Black">[2015-01-19 17:35:50] - Auto Roster Partial Function has been run for Red Wings.</font>
20152,[2015-01-19 17:35:50] - Red Wings lines errors : Normal line # 3 LW is empty.
Normal line # 4 RW is empty.
PK line 1 C is empty.
PK3 line 1 forward is empty.
LastMinDef line RW is empty.

20153,<font color="Black">[2015-01-19 17:35:50] - Auto Lines Partial Function has been run for Red Wings.</font>
20154,[2015-01-19 17:35:50] - Penguins roster errors : Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.

20155,<font color="Black">[2015-01-19 17:35:50] - Auto Roster Partial Function has been run for Penguins.</font>
20156,[2015-01-19 17:35:50] - Penguins lines errors : Normal line # 2 LW is empty.
PP line 2 LW is empty.

20157,<font color="Black">[2015-01-19 17:35:50] - Auto Lines Partial Function has been run for Penguins.</font>
20158,[2015-01-19 17:35:50] - Capitals roster errors : Not enough Defenseman available in Pro Team! 5 Dressed. 6 Required.
Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.

20159,<font color="Black">[2015-01-19 17:35:50] - Auto Roster Partial Function has been run for Capitals.</font>
20160,[2015-01-19 17:35:50] - Capitals lines errors : Normal line # 1 Defense #1 is empty.
