Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout,Link,Empty
192,19,False,21,0,3,0,False,False,OTHL-PRE-192.html,
193,19,False,6,0,9,0,False,False,OTHL-PRE-193.html,
194,19,False,22,0,28,0,False,False,OTHL-PRE-194.html,
195,19,False,24,0,18,0,False,False,OTHL-PRE-195.html,
196,19,False,2,0,10,0,False,False,OTHL-PRE-196.html,
197,19,False,14,0,1,0,False,False,OTHL-PRE-197.html,
198,19,False,23,0,15,0,False,False,OTHL-PRE-198.html,
199,19,False,30,0,4,0,False,False,OTHL-PRE-199.html,
200,19,False,12,0,7,0,False,False,OTHL-PRE-200.html,
201,19,False,17,0,31,0,False,False,OTHL-PRE-201.html,
202,19,False,20,0,11,0,False,False,OTHL-PRE-202.html,
203,19,False,8,0,29,0,False,False,OTHL-PRE-203.html,
204,20,False,31,0,26,0,False,False,OTHL-PRE-204.html,
205,20,False,9,0,19,0,False,False,OTHL-PRE-205.html,
206,20,False,5,0,25,0,False,False,OTHL-PRE-206.html,
207,20,False,28,0,6,0,False,False,OTHL-PRE-207.html,
208,20,False,13,0,21,0,False,False,OTHL-PRE-208.html,
209,20,False,4,0,27,0,False,False,OTHL-PRE-209.html,
210,20,False,22,0,24,0,False,False,OTHL-PRE-210.html,
211,20,False,3,0,20,0,False,False,OTHL-PRE-211.html,
212,20,False,10,0,12,0,False,False,OTHL-PRE-212.html,
213,20,False,15,0,2,0,False,False,OTHL-PRE-213.html,
214,20,False,8,0,14,0,False,False,OTHL-PRE-214.html,
215,20,False,16,0,30,0,False,False,OTHL-PRE-215.html,
216,20,False,17,0,23,0,False,False,OTHL-PRE-216.html,
217,21,False,25,0,5,0,False,False,OTHL-PRE-217.html,
218,21,False,11,0,22,0,False,False,OTHL-PRE-218.html,
219,21,False,29,0,1,0,False,False,OTHL-PRE-219.html,
220,21,False,19,0,18,0,False,False,OTHL-PRE-220.html,
221,21,False,26,0,7,0,False,False,OTHL-PRE-221.html,
222,21,False,28,0,3,0,False,False,OTHL-PRE-222.html,
223,21,False,16,0,13,0,False,False,OTHL-PRE-223.html,
224,21,False,21,0,27,0,False,False,OTHL-PRE-224.html,
225,21,False,20,0,6,0,False,False,OTHL-PRE-225.html,
226,21,False,30,0,9,0,False,False,OTHL-PRE-226.html,
227,22,False,11,0,24,0,False,False,OTHL-PRE-227.html,
228,22,False,12,0,10,0,False,False,OTHL-PRE-228.html,
229,22,False,18,0,4,0,False,False,OTHL-PRE-229.html,
230,22,False,15,0,17,0,False,False,OTHL-PRE-230.html,
231,22,False,14,0,8,0,False,False,OTHL-PRE-231.html,
232,22,False,26,0,31,0,False,False,OTHL-PRE-232.html,
233,22,False,7,0,29,0,False,False,OTHL-PRE-233.html,
234,22,False,6,0,16,0,False,False,OTHL-PRE-234.html,
235,22,False,3,0,19,0,False,False,OTHL-PRE-235.html,
236,22,False,1,0,2,0,False,False,OTHL-PRE-236.html,
237,22,False,23,0,25,0,False,False,OTHL-PRE-237.html,
238,23,False,27,0,28,0,False,False,OTHL-PRE-238.html,
239,23,False,8,0,5,0,False,False,OTHL-PRE-239.html,
240,23,False,9,0,21,0,False,False,OTHL-PRE-240.html,
241,23,False,24,0,11,0,False,False,OTHL-PRE-241.html,
242,23,False,2,0,15,0,False,False,OTHL-PRE-242.html,
243,23,False,12,0,26,0,False,False,OTHL-PRE-243.html,
244,23,False,1,0,14,0,False,False,OTHL-PRE-244.html,
245,23,False,13,0,20,0,False,False,OTHL-PRE-245.html,
246,23,False,4,0,22,0,False,False,OTHL-PRE-246.html,
247,23,False,19,0,30,0,False,False,OTHL-PRE-247.html,
248,23,False,16,0,18,0,False,False,OTHL-PRE-248.html,
249,23,False,10,0,31,0,False,False,OTHL-PRE-249.html,
250,23,False,7,0,23,0,False,False,OTHL-PRE-250.html,
251,23,False,29,0,17,0,False,False,OTHL-PRE-251.html,
252,24,False,25,0,12,0,False,False,OTHL-PRE-252.html,
253,24,False,9,0,3,0,False,False,OTHL-PRE-253.html,
254,24,False,20,0,13,0,False,False,OTHL-PRE-254.html,
255,24,False,24,0,27,0,False,False,OTHL-PRE-255.html,
256,24,False,28,0,21,0,False,False,OTHL-PRE-256.html,
257,24,False,31,0,5,0,False,False,OTHL-PRE-257.html,
258,24,False,18,0,6,0,False,False,OTHL-PRE-258.html,
259,24,False,1,0,8,0,False,False,OTHL-PRE-259.html,
260,24,False,4,0,11,0,False,False,OTHL-PRE-260.html,
261,24,False,10,0,7,0,False,False,OTHL-PRE-261.html,
262,24,False,26,0,15,0,False,False,OTHL-PRE-262.html,
263,24,False,17,0,29,0,False,False,OTHL-PRE-263.html,
