Number,Transaction
20193,[2019-12-23 5:05:19 PM] - Auto Lines Partial Function has been run for Red Wings.
20194,[2019-12-23 5:05:19 PM] - Rangers lines errors : Normal line # 1 Defense #1 is empty.
Normal line # 3 C is empty.
Normal line # 4 Defense #4 is empty.
Unknown Player is used twice in normal lines 1 and 3.
PP line 1 Defense #1 is empty.
PK line 1 Defense #1 is empty.
4 vs 4 line 1 Defense #1 is empty.
PK3 line 1 Defense #1 is empty.
LastMinOff line Defense #3 is empty.
LastMinDef line Defense #3 is empty.
Extra Forward #1 is empty.
Extra Forward #4 is empty.
Penalty Shot Player #5 is empty.

20195,[2019-12-23 5:05:19 PM] - Auto Lines Partial Function has been run for Rangers.
20196,[2019-12-23 5:05:19 PM] - Flyers roster errors : Not enough Defenseman available in Pro Team! 5 Dressed. 6 Required.
Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.

20197,[2019-12-23 5:05:19 PM] - Auto Roster Partial Function has been run for Flyers.
20198,[2019-12-23 5:05:19 PM] - Flyers lines errors : Normal line # 3 Defense #3 is empty.
PK line 2 Defense #2 is empty.
PK3 line 2 Defense #2 is empty.

20199,[2019-12-23 5:05:19 PM] - Auto Lines Partial Function has been run for Flyers.
20200,[2019-12-23 5:06:02 PM] - Game 382 - Zack Kassian from Kings is injured  (Bruised Left Foot) and is out for 2 weeks.
20201,[2019-12-23 5:06:02 PM] - Game 387 - Justin Braun from Sharks is injured  (Bruised Right Arm) and is out for 1 week.
20202,[2019-12-23 5:06:03 PM] - Joseph LaBate from Barracudas has scored a Hat Trick!
20203,[2019-12-23 5:06:03 PM] - Eeli Tolvanen from Moose has scored a Hat Trick!
20204,[2019-12-23 5:06:03 PM] - Alexandre Grenier from Crunch has scored a Hat Trick!
20205,[2019-12-23 5:06:03 PM] - Game 389 - Michael McCarron from Panthers is injured  (Bruised Left Arm) and is out for 2 weeks.
20206,[2019-12-23 5:06:03 PM] - Gulls lines for next game are empty. Current rosters/lines are not erased. But- Ducks lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20207,[2019-12-23 5:06:03 PM] - Bruins lines for next game are empty. Current rosters/lines are not erased. But- Bruins lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20208,[2019-12-23 5:06:03 PM] - Heat lines for next game are empty. Current rosters/lines are not erased. But- Flames lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20209,[2019-12-23 5:06:03 PM] - Both Hurricanes and Checkers lines for next game are empty. Current rosters/lines are not erased.
20210,[2019-12-23 5:06:03 PM] - Eagles lines for next game are empty. Current rosters/lines are not erased. But- Avalanche lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20211,[2019-12-23 5:06:03 PM] - Monsters lines for next game are empty. Current rosters/lines are not erased. But- Blue Jackets lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20212,[2019-12-23 5:06:03 PM] - Thunderbirds lines for next game are empty. Current rosters/lines are not erased. But- Panthers lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
