Team Number,Prospect Name,Year,Overall Pick
19,Michael St. Croix,2011, 111 
4,Dylan McIlrath,2010, 21 
30,Fredrik Pettersson,0, 0 
9,Philipe Hudon,2011, 112 
23,Linus Videll,0, 0 
3,Tobias Rieder,2011, 113 
9,Joel Lowry,2011, 114 
17,Riley Sheahan,2010, 22 
23,Justin Mercier,0, 0 
3,Maxime Lacroix,0, 0 
21,Beau Bennett,2010, 23 
16,Austen Brassard,2011, 115 
27,Anton Rodin,2009, 37 
29,Emil Molin,2011, 116 
17,Philippe Paradis,2009, 39 
27,Kirill Kabanov,2010, 24 
15,Nicholas Drazenovic,0, 0 
27,Marcel Noebels,2011, 117 
1,John Armstrong,0, 0 
3,Felix Schutz,0, 0 
8,Lukas Zeliska,0, 0 
13,Vladimir Ruzicka,0, 0 
9,Mark Santorelli,0, 0 
8,Jean-Simon Allard,0, 0 
11,Emerson Etem,2010, 25 
3,Hugo Carpentier,0, 0 
18,Richard Greenop,0, 0 
10,Kevin Hayes,2010, 26 
19,Max Campbell,0, 0 
4,Mark Pysyk,2010, 27 
7,Quinton Howden,2010, 28 
15,Dylan Olsen,2009, 41 
22,Nikita Nesterov,2011, 118 
23,Andrew Kozek,0, 0 
30,Dmitri Orlov,2009, 43 
11,Matt Clark,2009, 44 
17,Tomas Tatar,2009, 45 
15,Chris Brown,2009, 46 
7,John McFarland,2010, 29 
20,Kent Patterson,0, 0 
8,Garrett Noonan,2011, 119 
3,David Shantz,0, 0 
9,Fredrik Claesson,2011, 120 
12,Anton Lander,2009, 47 
23,Drew Shore,2009, 48 
8,Andrej Nestrasil,2009, 49 
22,Brock Nelson,2010, 30 
28,Colin Suellentrop,2011, 121 
14,Alexander Avtsin,2009, 50 
7,Maxim Goncharov,0, 0 
3,Korbinian Holzer,0, 0 
14,Joonas Lehtivuori,0, 0 
19,Ben Blood,0, 0 
16,Morgan Ellis,2010, 144 
24,Jonathan Merrill,2010, 31 
6,Alexander Hellstrom,0, 0 
21,Maxim Shalunov,2011, 122 
12,Simon Karlsson,2011, 123 
20,Calvin Pickard,2010, 32 
7,Jakob Silfverberg,2009, 51 
11,Bradley Ross,2010, 33 
4,Joonas Nattinen,2009, 52 
10,Ryan Hillier,0, 0 
2,Denis Loginov,0, 0 
2,Rylan Kaip,0, 0 
2,Brett Bruneteau,0, 0 
26,Jared Knight,2010, 34 
2,Michael Mersch,2011, 124 
2,Alexander Kucheryavenko,0, 0 
2,Guillaume Desbiens,0, 0 
1,Charlie Coyle,2010, 35 
2,Sebastian Stefaniszin,0, 0 
29,Taylor Ellington,0, 0 
2,Denis Bodrov,0, 0 
2,Logan Stephenson,0, 0 
2,Lane Manson,0, 0 
2,Jimmy Sharrow,0, 0 
2,Scott Todd,0, 0 
2,Martin Nolet,0, 0 
2,Adam Pardy,0, 0 
2,Mads Bodker,0, 0 
30,Steffen Kent Søberg,2011, 125 
6,Kris Chucko,0, 0 
22,Toni Rajala,2009, 54 
28,Zach Hamill,0, 0 
3,Mark Visentin,2010, 36 
13,Alexander Petrovic,2010, 37 
3,Jesse Blacker,2009, 55 
20,Martin Latal,0, 0 
15,Zachery Yuen,2011, 126 
20,Jeff Glass,0, 0 
21,Tyler Toffoli,2010, 38 
1,Ethan Werek,2009, 56 
23,Kale Kessy,2011, 127 
6,Richard Stehlik,0, 0 
6,Kevin Lynch,2009, 57 
8,Niklas Lundstrom,2011, 128 
8,Brett Sonne,0, 0 
9,Lars Volden,2011, 129 
15,Tony Cameranesi,2011, 130 
5,Justin Courtnall,0, 0 
3,Sean Kuraly,2011, 131 
5,Cam Cunning,0, 0 
15,Alexei Marchenko,2011, 132 
10,Magnus Nygren,2011, 133 
5,John Albert,0, 0 
14,Chad Rau,0, 0 
21,Ludwig Blomstrand,2011, 134 
5,Brian Ferlin,2011, 135 
16,Chasen Balisy,2011, 136 
2,Martin Gernat,2011, 137 
5,Trent Vogelhuber,0, 0 
3,Blake Pietila,2011, 138 
5,Fredrik Näslund,0, 0 
13,Garrett Meurs,2011, 139 
19,Andrew Shaw,2011, 140 
6,Nathan Lieuwen,2011, 141 
24,Stephen Michalek,2011, 142 
28,Yaroslav Kosov,2011, 143 
14,John Persson,2011, 144 
5,Kirill Tulupov,0, 0 
5,Brenden Kichton,2011, 145 
19,Samuel Noreau,2011, 146 
25,Nick Seeler,2011, 147 
21,Troy Vance,2011, 148 
5,John Lee,0, 0 
10,Alex Lepkowski,2011, 149 
29,Darren Dietz,2011, 150 
28,Darian Dziurzynski,2011, 151 
20,Brett Hemingway,0, 0 
8,Sean Collins,0, 0 
8,Milan Kytnar,0, 0 
25,Dominik Uher,2011, 152 
30,Patrick Koudys,2011, 153 
27,Justin Taylor,0, 0 
3,Mikko Lehtonen,0, 0 
3,Raymond Sawada,0, 0 
29,Christian Thomas,2010, 39 
14,Kenny Ryan,2009, 58 
29,Frank Corrado,2011, 154 
12,Calle Jarnkrok,2010, 40 
15,Alex Chiasson,2009, 59 
2,Alex Grant,0, 0 
22,Brian Dumoulin,2009, 60 
3,Michael Vernace,0, 0 
1,Ryan Howse,2009, 61 
21,Ben Hanowski,2009, 62 
29,Igor Bobkov,2009, 63 
22,Tyler Pitlik,2010, 41 
19,Ludvig Rensfeldt,2010, 42 
28,Dalton Smith,2010, 43 
6,Trevor Ludwig,0, 0 
15,Petr Straka,2010, 44 
19,Anders Nilsson,2009, 64 
19,Patrik Zackrisson,0, 0 
29,David Broll,2011, 155 
19,Mathieu Aubin,0, 0 
19,Doug Rogers,0, 0 
25,Olivier Roy,2009, 65 
9,David Meckler,0, 0 
25,Nicolas Deslauriers,2009, 66 
15,Stephen Johns,2010, 45 
27,Matthew Hackett,2009, 67 
23,William Wrenn,2009, 68 
14,Hugh Jessiman,0, 0 
15,Greg McKegg,2010, 46 
24,Josh Birkholz,2009, 69 
4,Eric Gelinas,2009, 70 
2,Simon Bertilsson,2009, 71 
24,Keith Seabrook,0, 0 
27,Scott Wedgewood,2010, 47 
23,Niclas Andersen,0, 0 
20,Trevor Hendrikx,0, 0 
3,Michael Latta,2009, 73 
3,Corey Syvret,0, 0 
23,Sean Zimmerman,0, 0 
3,Alex Hutchings,2009, 74 
3,Ryan Button,2009, 75 
10,Jason Gregoire,0, 0 
10,Stefan Meyer,0, 0 
21,Adam Wilcox,2011, 156 
3,Riley Holzapfel,0, 0 
