Number,Transaction,DateTime,Empty
20103,Auto Roster Partial Function has been run for Capitals.,2021-12-05 9:44:48 AM,
20104,Auto Lines Partial Function has been run for Capitals.,2021-12-05 9:44:48 AM,
20105,Game 85 - Pierre-Luc Dubois from Coyotes is injured  (Right Leg) and is out for 1 month.,2021-12-05 9:44:54 AM,
20106,Game 86 - Brady Skjei from Flames is injured  (Right Hand) and is out for 1 month.,2021-12-05 9:44:54 AM,
20107,Jack Hughes from Hurricanes has scored a Hat Trick!,2021-12-05 9:44:54 AM,
20108,Troy Terry from Checkers has scored a Hat Trick!,2021-12-05 9:44:55 AM,
20109,Anthony Angello from Bruins has scored a Hat Trick!,2021-12-05 9:44:55 AM,
20110,Last 7 Days Pro Star : 1 - Robin Lehner of Devils (0.968) / 2 - Tyler Motte of Islanders (3-5-8) / 3 - Mark Scheifele of Canadiens (3-4-7),2021-12-05 9:44:55 AM,
20111,Last 7 Days Farm Star : 1 - Kole Lind of Mariners (9-5-14) / 2 - Cole Caufield of Penguins (8-7-15) / 3 - Dakota Joshua of Penguins (4-11-15),2021-12-05 9:44:55 AM,
20112,Bruins lines for next game are empty. Current rosters/lines are not erased.,2021-12-05 9:44:55 AM,
20113,Tage Thompson of Sabres was sent to farm.,2021-12-05 9:44:55 AM,
20114,Both Hurricanes and Checkers lines for next game are empty. Current rosters/lines are not erased.,2021-12-05 9:44:55 AM,
20115,Eagles lines for next game are empty. Current rosters/lines are not erased.,2021-12-05 9:44:55 AM,
20116,Stars lines for next game are empty. Current rosters/lines are not erased.,2021-12-05 9:44:55 AM,
20117,Admirals lines for next game are empty. Current rosters/lines are not erased.,2021-12-05 9:44:55 AM,
20118,Sound Tigers lines for next game are empty. Current rosters/lines are not erased.,2021-12-05 9:44:55 AM,
20119,Wolf Pack lines for next game are empty. Current rosters/lines are not erased. But- Rangers lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-05 9:44:55 AM,
20120,Senators lines for next game are empty. Current rosters/lines are not erased. But- Senators lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-05 9:44:55 AM,
20121,Phantoms lines for next game are empty. Current rosters/lines are not erased.,2021-12-05 9:44:55 AM,
