Number,Transaction
20167,[2015-12-06 6:58:37 PM] - Auto Lines Partial Function has been run for Canadiens.
20168,[2015-12-06 6:58:37 PM] - Devils lines errors : Normal line # 1 RW is empty.
PP line 1 RW is empty.
4 vs 4 line 2 LW is empty.
LastMinOff line RW is empty.
LastMinDef line RW is empty.
Penalty Shot Player #4 is empty.

20169,[2015-12-06 6:58:37 PM] - Auto Lines Partial Function has been run for Devils.
20170,[2015-12-06 6:58:37 PM] - Capitals lines errors : Normal line # 4 C is empty.

20171,[2015-12-06 6:58:37 PM] - Auto Lines Partial Function has been run for Capitals.
20172,[2015-12-06 6:58:53 PM] - Game 374 - Eric Gryba from Hurricanes is injured  (Bruised Left Foot) and is out for 2 days.
20173,[2015-12-06 6:58:53 PM] - Game 377 - Matt Greene from Coyotes is injured  (Sprained Left Ankle) and is out for 2 days.
20174,[2015-12-06 6:58:53 PM] - Game 377 - Zdeno Chara from Coyotes is injured  (Upper Body) and is out for 1 week.
20175,[2015-12-06 6:58:53 PM] - Game 378 - Kevin Porter from Panthers is injured  (Strained Left Knee) and is out for 3 days.
20176,[2015-12-06 6:58:53 PM] - Game 378 - Vladimir Tarasenko from Panthers is injured  (Left Leg) and is out for 2 weeks.
20177,[2015-12-06 6:58:54 PM] - Hurricanes lines for next game are empty. Current rosters/lines are not erased.
20178,[2015-12-06 6:58:54 PM] - Monsters lines for next game are empty. Current rosters/lines are not erased.
20179,[2015-12-06 6:58:54 PM] - Red Wings lines for next game are empty. Current rosters/lines are not erased.
20180,[2015-12-06 6:58:54 PM] - Canadiens lines for next game are empty. Current rosters/lines are not erased.
20181,[2015-12-06 6:58:54 PM] - Senators lines for next game are empty. Current rosters/lines are not erased.
20182,[2015-12-06 6:58:54 PM] - Coyotes lines for next game are empty. Current rosters/lines are not erased.
20183,[2015-12-06 6:58:54 PM] - Scottie Upshall from Coyotes is back from Broken Bone (Right Foot) Injury.
20184,[2015-12-06 6:58:54 PM] - Kevin Porter from Panthers is back from Strained Left Knee Injury.
20185,[2015-12-06 6:58:54 PM] - Johnny Boychuk from Blackhawks is back from Groin Injury.
20186,[2015-12-06 6:58:54 PM] - Matt Greene from Coyotes is back from Sprained Left Ankle Injury.
20187,[2015-12-06 6:58:54 PM] - Eric Gryba from Hurricanes is back from Bruised Left Foot Injury.
20188,[2015-12-06 6:59:00 PM] - Current fund for Jets is under $0.
20189,[2015-12-06 6:59:02 PM] - Maximum Farm Players Limit Reached for Americans!
20190,[2015-12-06 6:59:03 PM] - Hurricanes are expected to be under the minimum salary cap by $920-000!
20191,[2015-12-06 6:59:03 PM] - Current fund for Avalanche is under $0.
20192,[2015-12-06 6:59:05 PM] - Islanders are expected to be under the minimum salary cap by $2-106-667!
20193,[2015-12-06 6:59:52 PM] - Current fund for Jets is under $0.
20194,[2015-12-06 6:59:53 PM] - Maximum Farm Players Limit Reached for Americans!
20195,[2015-12-06 6:59:56 PM] - Hurricanes are expected to be under the minimum salary cap by $920-000!
20196,[2015-12-06 6:59:57 PM] - Current fund for Avalanche is under $0.
20197,[2015-12-06 6:59:58 PM] - Islanders are expected to be under the minimum salary cap by $2-106-667!
20198,[2015-12-07 7:37:37 PM] - Successfully loaded Blackhawks lines done with STHS Client - 2.3.1.1
20199,[2015-12-07 7:37:39 PM] - Successfully loaded Oilers lines done with STHS Client - 2.3.1.1
20200,[2015-12-07 7:37:40 PM] - Christian Thomas of Canadiens was sent to farm.
20201,[2015-12-07 7:37:40 PM] - Lucas Lessio of Canadiens was sent to farm.
20202,[2015-12-07 7:37:40 PM] - Successfully loaded Canadiens lines done with STHS Client - 2.3.2.2
20203,[2015-12-07 7:37:40 PM] - Successfully loaded Devils lines done with STHS Client - 2.3.2.2
20204,[2015-12-07 7:37:41 PM] - Klas Dahlbeck of Coyotes was sent to pro.
20205,[2015-12-07 7:37:41 PM] - Successfully loaded Coyotes lines done with STHS Client - 2.3.1.1
20206,[2015-12-07 7:38:05 PM] - Sabres roster errors : Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.

20207,[2015-12-07 7:38:05 PM] - Americans roster errors : Too many Players available in Farm Team! 19 Dressed. Maximum is 18.
Some errors will be automatically fixed.

20208,[2015-12-07 7:38:05 PM] - Brayden McNabb of Sabres was sent to pro.
20209,[2015-12-07 7:38:05 PM] - Auto Roster Partial Function has been run for Sabres.
20210,[2015-12-07 7:38:05 PM] - Sabres lines errors : Normal line # 3 LW is empty.
PK line 1 LW is empty.

20211,[2015-12-07 7:38:05 PM] - Auto Lines Partial Function has been run for Sabres.
20212,[2015-12-07 7:38:05 PM] - Americans (Sabres) lines errors : Goalie 'Minimum # of Goals before Remove from Game' is incorrect.
Goalie 'Save PCT Under before Remove from Game' is incorrect.
Goalie 'When to remove the goalies from goal if trailing by 1 in third period (In second)' is incorrect.

20213,[2015-12-07 7:38:05 PM] - Auto Lines Farm Function has been run for Americans.
20214,[2015-12-07 7:38:05 PM] - Panthers roster errors : Not enough Players available in Pro Team! 16 Dressed. 18 Required.
Some errors will be automatically fixed.

20215,[2015-12-07 7:38:05 PM] - Paul Bissonnette of Panthers was sent to pro.
20216,[2015-12-07 7:38:05 PM] - Auto Roster Partial Function has been run for Panthers.
20217,[2015-12-07 7:38:05 PM] - Panthers lines errors : Normal line # 1 C is empty.
Normal line # 1 RW is empty.
Unknown Player is used twice in Normal line #1
Normal line # 4 RW is empty.
PP line 1 C is empty.
PP line 1 RW is empty.
