Team Number,Prospect Name,Year,Overall Pick
6,Philipp Kurashev,2018,79
22,Brandon Duhaime,2016,122
2,Max Zimmer,2016,123
11,Brett Murray,2016,124
23,Alexandr Darin,2019,112
1,Brandon Hickey,2014,58
8,Joshua Jacobs,2014,59
20,Nicholas Caamano,2016,125
16,Patrick Harper,2016,126
15,Karl Henriksson,2019,64
14,Ryan Kujawinski,2013,66
5,Lukas Dostal,2018,80
23,Philippe Desrosiers,2013,68
16,Tyler Soy,2016,127
19,Kirill Ustimenko,2017,113
11,Ben Mirageas,2017,114
15,Antti Saarela,2019,113
16,Chase Priskie,2016,128
27,Nick Ebert,2012,84
3,Todd Burgess,2016,129
8,Oskar Back,2018,81
6,Matej Pekar,2018,82
22,Nolan Stevens,2016,130
7,Semyon Der-Arguchintsev,2018,83
31,Kyle Olson,2017,115
6,Michael Anderson,2017,116
11,Graham McPhee,2016,131
9,Justin Kirkland,2014,61
6,Sasha Chmelevski,2017,117
11,Nicolas Mattinen,2016,132
19,Yan Pavel Laplante,2013,74
12,Linus Hogberg,2016,133
5,Linus Karlsson,2018,84
1,Noah Cates,2017,118
5,Jacob Cederholm,2016,134
5,Jack Badini,2017,119
13,Ilya Sorokin,2014,63
9,Lars Volden,2011,129
23,Peter Diliberatore,2018,191
4,Justus Annunen,2018,85
22,Denis Smirnov,2017,120
8,Jayden Struble,2019,65
15,Mathias From,2016,135
10,Magnus Nygren,2011,133
6,Jeremy Roy,2015,33
3,Ryan Collins,2014,64
15,Slava Demin,2018,86
19,Brian Ferlin,2011,135
15,Jonathan Gruden,2018,87
28,Joel Hofer,2018,88
12,Rhett Gardner,2016,136
6,Maxim Cajkovic,2019,66
24,Thomas Novak,2015,34
13,Garrett Meurs,2011,139
5,Oskari Laaksonen,2017,121
6,Danila Zhuravlyov,2018,122
24,Cole Fonstad,2018,89
23,Yaroslav Kosov,2011,143
14,John Persson,2011,144
6,Alex Beaucage,2019,67
8,Jakob Ragnarsson,2018,90
25,Anttoni Honka,2019,68
26,Timothy Gettinger,2016,137
6,Ty Emberson,2018,91
23,Nico Gross,2018,92
2,Jansen Harkins,2015,36
10,Alex Lepkowski,2011,149
27,Sebastian Repo,2017,122
28,Keaton Middleton,2016,138
15,Dmitry Zavgorodniy,2018,93
6,Kirill Maksimov,2017,123
2,Roman Durny,2018,94
5,Arseny Gritsyuk,2019,131
27,Pavel Koltygin,2017,124
10,Anton Zlobin,2012,91
14,Adam Gilmour,2012,92
13,Alexander Delnov,2012,93
14,Mason Primeau,2019,114
9,Mason Geertsen,2013,77
14,Kenny Ryan,2009,58
8,Maxim Letunov,2014,68
20,Tanner Laczynski,2016,139
29,Clayton Phillips,2017,125
21,Keegan Iverson,2014,69
18,Lucas Carlsson,2016,140
6,Albert Johansson,2019,69
21,Simon Lundmark,2019,70
2,Alex Lintuniemi,2014,71
8,Connor Chatham,2014,72
4,Michael Eyssimont,2016,141
5,Evan Cormier,2016,142
29,Igor Bobkov,2009,63
27,Austin Poganski,2014,73
19,Ludvig Rensfeldt,2010,42
6,Cayden Primeau,2017,127
8,Alfons Malmstrom,2016,143
28,Liam Gorman,2018,192
14,Ryan Mantha,2014,115
8,Daniel Altshuller,2012,102
19,Rinat Valiev,2014,74
13,Hardy Haman-Aktell,2016,144
21,D'Artagnan Joly,2017,128
31,Riley Stotts,2018,95
10,Olivier Roy,2009,65
12,Lukas Parik,2019,71
29,Gabriel Carlsson,2015,38
24,Malte Setkov,2017,129
15,Brycen Martin,2014,76
5,Alex Dostie,2016,146
22,Olle Eriksson-Ek,2017,130
11,Dylan Ferguson,2017,131
29,Tanner Kaspick,2016,147
30,Ronnie Attard,2019,72
1,Mikko Kokkonen,2019,73
1,Milos Roman,2018,96
17,Brandon Hagel,2016,149
27,David Bernhardt,2016,150
28,Jack Rathbone,2017,132
8,Damien Riat,2016,173
30,Ville Husso,2014,79
23,Kaapo Kahkonen,2014,80
2,Veini Vehvilainen,2018,97
30,Nikita Gusev,2012,109
6,Daniil Misyul,2019,74
26,Austin Wong,2018,193
3,Manuel Wiederer,2016,151
11,Travis Barron,2016,152
12,John Farinacci,2019,75
16,Felix Sandstrom,2015,40
19,Jacob Bryson,2017,133
2,Jeremy Helvig,2016,153
30,Aidan Dudas,2018,98
30,Filip Cederqvist,2019,115
6,Riley Sutter,2018,99
14,Aliaksei Protas,2019,76
5,Eetu Makiniemi,2017,134
24,Cole Fraser,2017,135
31,Graeme Clarke,2019,81
27,Petr Kvaca,2017,136
16,Xavier Bernard,2018,100
4,Tim Soderlund,2017,137
26,Joey LaLeggia,2012,120
5,Jordan Harris,2018,101
28,Jeremy Swayman,2017,138
31,David Noel,2017,139
11,Ty Ronning,2016,154
11,Jake Paterson,2012,122
31,Logan Hutsko,2018,102
20,Mattias Elfstrom,2016,155
30,Tyce Thompson,2019,116
23,Maksim Sushko,2017,140
28,Layton Ahac,2019,82
28,Jonathan Walker,2016,157
15,Curtis Hall,2018,103
26,Bryce Misley,2017,141
19,Austin Wuthrich,2012,128
8,Samuel Montembeault,2015,41
7,Fredrik Olofsson,2014,117
15,Jake Ryczek,2016,158
15,Jake Walman,2014,83
14,Nikolai Chebykin,2016,159
6,Axel Jonsson-Fjallby,2016,160
2,Markus Nurmi,2016,161
27,Marcus Karlberg,2018,104
31,Luke Henman,2018,105
25,Jesper Eliasson,2018,106
4,Ilya Konovalov,2019,83
15,Thomas di Pauli,2012,136
21,Vojtech Budik,2016,162
25,Peter Thome,2016,163
21,Niklas Hansson,2013,82
1,Mitchell Stephens,2015,42
20,Joshua Brown,2013,167
23,Eamon McAdam,2013,83
8,Michael Vukojevic,2019,84
23,Joey Keane,2018,107
22,Tyler Wall,2016,164
22,Jeremy Michel,2019,209
1,Martin Pospisil,2018,108
28,Oleg Sosunov,2016,165
23,Roope Laavainen,2017,142
14,Alexis Pepin,2014,88
12,Oskar Steen,2016,166
27,William Lagesson,2014,90
14,Gabriel Beaupre,2011,158
29,Nick Pastujov,2016,174
12,Marian Studenic,2017,143
15,Zac Jones,2019,85
