Number,Transaction
20141,[2/11/2013 9:16:47 PM] - Checkers lines for next game are empty. Current rosters/lines are not erased.
20142,[2/11/2013 9:16:47 PM] - IceHogs lines for next game are empty. Current rosters/lines are not erased.
20143,[2/11/2013 9:16:47 PM] - Monsters lines for next game are empty. Current rosters/lines are not erased.
20144,[2/11/2013 9:16:47 PM] - Stars lines for next game are empty. Current rosters/lines are not erased.
20145,[2/11/2013 9:16:47 PM] - Kings lines for next game are empty. Current rosters/lines are not erased.
20146,[2/11/2013 9:16:47 PM] - Monarchs lines for next game are empty. Current rosters/lines are not erased.
20147,[2/11/2013 9:16:47 PM] - Aeros lines for next game are empty. Current rosters/lines are not erased.
20148,[2/11/2013 9:16:47 PM] - Bulldogs lines for next game are empty. Current rosters/lines are not erased.
20149,[2/11/2013 9:16:47 PM] - Whale lines for next game are empty. Current rosters/lines are not erased.
20150,[2/11/2013 9:16:47 PM] - Senators lines for next game are empty. Current rosters/lines are not erased.
20151,[2/11/2013 9:16:47 PM] - Senators lines for next game are empty. Current rosters/lines are not erased.
20152,[2/11/2013 9:16:47 PM] - Coyotes lines for next game are empty. Current rosters/lines are not erased.
20153,[2/11/2013 9:16:47 PM] - Pirates lines for next game are empty. Current rosters/lines are not erased.
20154,[2/11/2013 9:16:47 PM] - Rivermen lines for next game are empty. Current rosters/lines are not erased.
20155,[2/11/2013 9:16:47 PM] - Sharks lines for next game are empty. Current rosters/lines are not erased.
20156,[2/11/2013 9:16:47 PM] - Lightning lines for next game are empty. Current rosters/lines are not erased.
20157,[2/11/2013 9:16:47 PM] - Admirals lines for next game are empty. Current rosters/lines are not erased.
20158,[2/11/2013 9:16:47 PM] - Canucks lines for next game are empty. Current rosters/lines are not erased.
20159,[2/11/2013 9:16:47 PM] - Capitals lines for next game are empty. Current rosters/lines are not erased.
20160,[2/11/2013 9:16:47 PM] - Bears lines for next game are empty. Current rosters/lines are not erased.
20161,<font color="#0080C0">[2/11/2013 9:16:47 PM] - Bracken Kearns was not claimed from waiver and was sent to farm.</font>
20162,[2/11/2013 9:16:49 PM] - Hurricanes are expected to be under the minimum salary cap by $700-000!
20163,[2/11/2013 9:16:50 PM] - Current fund for Stars is under $0.
20164,[2/11/2013 9:16:50 PM] - Canadiens are expected to be under the minimum salary cap by $6-020-232!
20165,[2/11/2013 9:16:50 PM] - Coyotes are expected to be under the minimum salary cap by $1-292-500!
20166,[2/11/2013 9:16:51 PM] - Hurricanes are expected to be under the minimum salary cap by $700-000!
20167,[2/11/2013 9:16:51 PM] - Maximum Pro Players Limit Reached for Red Wings!
20168,[2/11/2013 9:16:52 PM] - Canadiens are expected to be under the minimum salary cap by $6-020-232!
20169,[2/11/2013 9:16:53 PM] - Current fund for Islanders is under $0.
20170,[2/11/2013 9:16:54 PM] - Current fund for Rangers is under $0.
20171,[2/11/2013 9:16:54 PM] - Current fund for Coyotes is under $0.
20172,[2/11/2013 9:16:55 PM] - Coyotes are expected to be under the minimum salary cap by $1-292-500!
20173,[2/11/2013 9:16:56 PM] - Current fund for Canucks is under $0.
20174,[2/11/2013 9:18:20 PM] - Pro Game Option - Finance Value Modified to 80
20175,[2/11/2013 9:18:20 PM] - Pro Game Option - Finance Value Modified to 80
20176,[2/11/2013 9:18:20 PM] - Pro Game Option - Finance Value Modified to 81
20177,[2/11/2013 9:18:20 PM] - Pro Game Option - Finance Value Modified to 82
20178,[2/11/2013 9:18:20 PM] - Pro Game Option - Finance Value Modified to 84
20179,[2/11/2013 9:18:20 PM] - Pro Game Option - Finance Value Modified to 87
20180,[2/11/2013 9:18:20 PM] - Pro Game Option - Finance Value Modified to 90
20181,[2/11/2013 9:18:20 PM] - Pro Game Option - Finance Value Modified to 93
20182,[2/11/2013 9:18:20 PM] - Pro Game Option - Finance Value Modified to 96
20183,[2/11/2013 9:18:20 PM] - Pro Game Option - Finance Value Modified to 99
20184,[2/11/2013 9:18:20 PM] - Pro Game Option - Finance Value Modified to 100
20185,[2/11/2013 9:18:20 PM] - Pro Game Option - Finance Value Modified to 100
20186,<font color="#FF8000">[2/11/2013 9:18:51 PM] - Bruno Gervais was added to Blue Jackets.</font>
20187,<font color="#FF8000">[2/11/2013 9:18:52 PM] - TRADE : From Avalanche to Blue Jackets : Bruno Gervais (59).</font>
20188,<font color="#FF8000">[2/11/2013 9:18:52 PM] - TRADE : From Blue Jackets to Avalanche : Y:2013-RND:5-DET.</font>
20189,<font color="#FF8000">[2/11/2013 9:19:48 PM] - Scott Hannan was added to Rangers.</font>
20190,<font color="#FF8000">[2/11/2013 9:19:48 PM] - Brenden Morrow was added to Avalanche.</font>
20191,<font color="#FF8000">[2/11/2013 9:19:48 PM] - Chris Porter was added to Avalanche.</font>
20192,<font color="#FF8000">[2/11/2013 9:19:49 PM] - TRADE : From Avalanche to Rangers : Scott Hannan (67)- Ben Sexton (P)- Simon Danis-Pepin (P).</font>
20193,<font color="#FF8000">[2/11/2013 9:19:49 PM] - TRADE : From Rangers to Avalanche : Brenden Morrow (66)- Chris Porter (56)- Josh Archibald (P)- Y:2013-RND:6-NYI.</font>
20194,[2/11/2013 9:19:50 PM] - Current fund for Rangers is under $0.
20195,<font color="#FF8000">[2/11/2013 9:20:41 PM] - Rob Scuderi was added to Sharks.</font>
20196,<font color="#FF8000">[2/11/2013 9:20:41 PM] - James Sheppard was added to Penguins.</font>
20197,<font color="#FF8000">[2/11/2013 9:20:42 PM] - TRADE : From Penguins to Sharks : Rob Scuderi (67)- Y:2014-RND:6-PIT.</font>
20198,<font color="#FF8000">[2/11/2013 9:20:42 PM] - TRADE : From Sharks to Penguins : James Sheppard (49)- Nick Petrecki (P).</font>
20199,[2/11/2013 9:20:53 PM] - Sharks roster errors : Too many Players available in Pro Team! 19 Dressed. Maximum is 18.
Some errors will be automatically fixed.

20200,<font color="Black">[2/11/2013 9:21:01 PM] - Bracken Kearns of Sharks was sent to pro.</font>
20201,<font color="#0080C0">[2/11/2013 9:21:05 PM] - Sharks sent Bracken Kearns to waiver.</font>
20202,[2/11/2013 9:21:06 PM] - Bracken Kearns of Sharks was sent to farm.
20203,[2/11/2013 9:34:19 PM] - Hurricanes are expected to be under the minimum salary cap by $700-000!
20204,[2/11/2013 9:34:20 PM] - Current fund for Stars is under $0.
20205,[2/11/2013 9:34:20 PM] - Maximum Pro Players Limit Reached for Red Wings!
20206,[2/11/2013 9:34:21 PM] - Canadiens are expected to be under the minimum salary cap by $6-020-232!
20207,[2/11/2013 9:34:21 PM] - Current fund for Islanders is under $0.
20208,[2/11/2013 9:34:21 PM] - Canadiens are expected to be under the minimum salary cap by $6-020-232!
20209,[2/11/2013 9:34:21 PM] - Coyotes are expected to be under the minimum salary cap by $1-292-500!
20210,[2/11/2013 9:34:21 PM] - Hurricanes are expected to be under the minimum salary cap by $700-000!
20211,[2/11/2013 9:34:22 PM] - Current fund for Rangers is under $0.
20212,[2/11/2013 9:34:22 PM] - Current fund for Coyotes is under $0.
20213,[2/11/2013 9:34:23 PM] - Coyotes are expected to be under the minimum salary cap by $1-292-500!
20214,[2/11/2013 9:34:23 PM] - Current fund for Canucks is under $0.
20215,<font color="Black">[2/12/2013 4:40:46 PM] - Successfully loaded Bruins lines done with STHS Client - 2.1.6.6</font>
20216,<font color="Black">[2/12/2013 4:40:46 PM] - Eric Tangradi of Blackhawks was sent to pro.</font>
20217,[2/12/2013 4:40:46 PM] - Evgeny Grachev of Blackhawks was sent to farm.
20218,<font color="Black">[2/12/2013 4:40:46 PM] - Successfully loaded Blackhawks lines done with STHS Client - 2.1.6.6</font>
20219,[2/12/2013 4:40:46 PM] - Cory Emmerton of Avalanche was sent to farm.
20220,<font color="Black">[2/12/2013 4:40:46 PM] - Successfully loaded Avalanche lines done with STHS Client - 2.1.5.5</font>
20221,[2/12/2013 4:42:02 PM] - Jimmy Hayes of Red Wings was sent to farm.
20222,<font color="#0080C0">[2/12/2013 4:42:02 PM] - Red Wings sent Brandon Yip to waiver.</font>
20223,<font color="Black">[2/12/2013 4:42:02 PM] - Successfully loaded Red Wings lines done with STHS Client - 2.1.6.6</font>
20224,<font color="Black">[2/12/2013 4:42:02 PM] - Successfully loaded Wild lines done with STHS Client - 2.1.3.3</font>
20225,[2/12/2013 4:42:02 PM] - Canadiens are expected to be under the minimum salary cap by $6-020-232!
20226,<font color="Black">[2/12/2013 4:42:02 PM] - Successfully loaded Canadiens lines done with STHS Client - 2.1.6.6</font>
20227,[2/12/2013 4:42:02 PM] - Blake Geoffrion of Flyers was sent to farm.
20228,<font color="Black">[2/12/2013 4:42:02 PM] - Successfully loaded Flyers lines done with STHS Client - 2.1.6.6</font>
20229,<font color="Black">[2/12/2013 4:42:04 PM] - Successfully loaded Blues lines done with STHS Client - 2.1.7.7</font>
20230,[2/12/2013 4:42:04 PM] - Arturs Kulda of Sharks was sent to farm.
20231,<font color="Black">[2/12/2013 4:42:05 PM] - Successfully loaded Sharks lines done with STHS Client - 2.1.6.6</font>
20232,<font color="Black">[2/12/2013 4:42:05 PM] - Successfully loaded Canucks lines done with STHS Client - 2.1.6.6</font>
20233,[2/12/2013 4:42:12 PM] - Current fund for Rangers is under $0.
20234,<font color="Black">[2/12/2013 4:43:40 PM] - Marcel Mueller of Rangers was sent to pro.</font>
20235,[2/12/2013 4:49:57 PM] - Hurricanes are expected to be under the minimum salary cap by $700-000!
20236,[2/12/2013 4:49:57 PM] - Predators roster errors : Not enough Left Wings available in Pro Team! 2 Dressed. 3 Required.
Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.

20237,<font color="Black">[2/12/2013 4:49:57 PM] - Auto Roster Partial Function has been run for Predators.</font>
20238,[2/12/2013 4:49:57 PM] - Predators lines errors : Normal line # 1 C is empty.
Normal line # 4 LW is empty.
PP line 1 C is empty.
PK line 1 C is empty.
4 vs 4 line 1 C is empty.
PK3 line 1 forward is empty.
LastMinOff line C is empty.
LastMinDef line C is empty.
Penalty Shot Player #1 is empty.

20239,<font color="Black">[2/12/2013 4:49:58 PM] - Auto Lines Partial Function has been run for Predators.</font>
20240,[2/12/2013 4:49:58 PM] - Predators lines errors : David Legwand is used twice in PP lines 1 and 2.
Matt Cooke is used twice in PK lines 1 and 2.
Matt Cooke is used twice in 4vs4 lines 1 and 2.
David Legwand is used twice in PK3 lines 1 and 2.

20241,<font color="Black">[2/12/2013 4:49:58 PM] - Auto Lines Function has been run for Predators.</font>
20242,[2/12/2013 4:49:58 PM] - Coyotes are expected to be under the minimum salary cap by $1-292-500!
20243,[2/12/2013 4:49:58 PM] - Penguins roster errors : Not enough Defenseman available in Pro Team! 4 Dressed. 6 Required.
Not enough Players available in Pro Team! 15 Dressed. 18 Required.
Some errors will be automatically fixed.

20244,<font color="Black">[2/12/2013 4:49:58 PM] - Auto Roster Partial Function has been run for Penguins.</font>
